DATE,GENERAL_DAM_OCCUPANCY_RATE,GENERAL_DAM_RESERVED_WATER,PRCP,TAVG
2017-04-26,87.44,760,0.0,14.4
2017-04-27,87.36,759,0.0,16.8
2017-04-28,87.3,758,0.0,17.9
2017-04-29,87.11,757,0.0,20.5
2017-04-30,86.87,755,0.0,18.6
2017-05-01,86.58,752,0.0,15.1
2017-05-02,86.46,751,0.0,15.7
2017-05-03,86.22,749,0.0,17.7
2017-05-04,86.2,749,0.0,18.2
2017-05-05,85.96,747,0.0,18.5
2017-05-06,85.83,746,6.1,15.9
2017-05-07,85.87,746,0.0,17.8
2017-05-08,85.91,746,10.9,17.6
2017-05-09,85.82,745,1.0,18.8
2017-05-10,85.75,745,3.6,15.4
2017-05-11,85.6,744,0.3,16.4
2017-05-12,85.54,743,0.0,19.6
2017-05-13,85.47,742,0.0,23.2
2017-05-14,85.26,741,0.3,21.7
2017-05-15,85.11,739,0.0,17.6
2017-05-16,84.88,737,0.0,17.6
2017-05-17,84.68,736,0.0,16.8
2017-05-18,84.4,733,0.8,17.0
2017-05-19,84.11,731,0.0,16.0
2017-05-20,83.97,729,0.0,15.9
2017-05-21,83.7,727,1.0,15.4
2017-05-22,83.54,726,5.8,16.6
2017-05-23,83.43,725,1.8,17.7
2017-05-24,83.14,722,0.0,17.4
2017-05-25,82.9,720,0.0,19.7
2017-05-26,82.71,718,1.5,19.6
2017-05-27,82.57,717,0.0,18.2
2017-05-28,82.35,715,0.0,18.9
2017-05-29,82.15,714,0.0,20.1
2017-05-30,81.95,712,3.3,17.2
2017-05-31,81.85,711,0.0,20.8
2017-06-01,81.69,710,0.0,22.3
2017-06-02,81.52,708,0.0,23.3
2017-06-03,81.35,707,0.0,24.7
2017-06-04,81.22,706,0.0,22.6
2017-06-05,81.03,704,0.0,21.7
2017-06-06,80.81,702,0.0,21.3
2017-06-07,80.65,701,0.0,23.2
2017-06-08,80.48,699,0.3,23.9
2017-06-09,80.37,698,29.5,19.3
2017-06-10,80.33,698,8.4,17.9
2017-06-11,80.4,698,0.3,21.9
2017-06-12,80.16,696,0.0,21.9
2017-06-13,80.01,695,0.0,22.4
2017-06-14,79.84,694,0.0,22.7
2017-06-15,79.66,692,0.0,22.4
2017-06-16,79.53,691,0.3,23.0
2017-06-17,79.32,689,0.0,21.8
2017-06-18,79.18,688,0.3,19.9
2017-06-19,79.15,688,6.4,18.4
2017-06-20,79.34,689,3.8,21.1
2017-06-21,79.35,689,0.0,22.3
2017-06-22,79.31,689,0.0,24.3
2017-06-23,79.22,688,0.0,25.3
2017-06-24,79.03,687,0.0,26.4
2017-06-25,78.89,685,0.0,26.8
2017-06-26,78.71,684,0.0,25.4
2017-06-27,78.53,682,0.0,25.4
2017-06-28,78.34,681,0.0,27.2
2017-06-29,78.13,679,0.0,29.2
2017-06-30,77.86,676,0.0,30.7
2017-07-01,77.63,674,0.0,30.2
2017-07-02,77.38,672,0.0,28.4
2017-07-03,77.12,670,0.0,28.4
2017-07-04,76.8,667,0.0,23.0
2017-07-05,76.56,665,0.0,23.8
2017-07-06,76.28,663,0.0,23.7
2017-07-07,76.03,660,0.0,23.4
2017-07-08,75.75,658,0.0,23.8
2017-07-09,75.52,656,0.0,25.8
2017-07-10,75.3,654,0.0,26.6
2017-07-11,75.03,652,0.0,25.4
2017-07-12,74.83,650,0.0,25.4
2017-07-13,74.54,648,0.0,26.8
2017-07-14,74.34,646,0.0,25.6
2017-07-15,73.99,643,0.0,24.6
2017-07-16,73.67,640,0.0,24.7
2017-07-17,73.31,637,0.0,24.3
2017-07-18,73.12,635,11.9,22.5
2017-07-19,74.06,643,16.3,24.9
2017-07-20,73.89,642,0.0,24.8
2017-07-21,73.7,640,0.0,25.1
2017-07-22,73.58,639,0.0,26.2
2017-07-23,73.31,637,0.0,26.6
2017-07-24,72.97,634,0.0,27.6
2017-07-25,72.72,632,0.0,28.2
2017-07-26,72.42,629,0.0,29.2
2017-07-27,72.08,626,0.0,26.6
2017-07-28,71.88,624,0.0,23.4
2017-07-29,71.73,623,0.0,25.1
2017-07-30,71.42,620,0.0,26.1
2017-07-31,71.17,618,0.0,25.1
2017-08-01,70.67,614,0.0,25.4
2017-08-02,70.38,611,0.0,26.4
2017-08-03,70.09,609,6.6,27.4
2017-08-04,69.78,606,0.0,27.7
2017-08-05,69.49,604,0.0,28.1
2017-08-06,69.21,601,0.0,28.2
2017-08-07,68.91,599,0.0,28.0
2017-08-08,68.59,596,0.0,27.3
2017-08-09,68.33,594,0.0,27.1
2017-08-10,67.95,590,0.0,26.9
2017-08-11,67.69,588,0.0,27.7
2017-08-12,67.32,585,0.0,27.4
2017-08-13,67.16,583,0.0,26.3
2017-08-14,66.82,580,0.0,25.9
2017-08-15,66.35,576,0.0,24.6
2017-08-16,66.06,574,0.3,24.4
2017-08-17,66.21,575,22.1,25.3
2017-08-18,65.92,573,1.0,26.1
2017-08-19,65.63,570,0.0,25.9
2017-08-20,65.48,569,0.0,25.9
2017-08-21,65.36,568,0.0,25.8
2017-08-22,65.06,565,9.7,21.6
2017-08-23,64.7,562,7.9,22.3
2017-08-24,64.47,560,0.0,23.7
2017-08-25,64.27,558,0.0,23.5
2017-08-26,63.96,556,0.0,23.9
2017-08-27,63.59,552,0.0,24.6
2017-08-28,63.36,550,0.0,25.7
2017-08-29,63.07,548,1.0,24.6
2017-08-30,62.89,546,0.0,22.5
2017-08-31,62.66,544,0.0,21.9
2017-09-01,62.38,542,0.0,21.8
2017-09-02,62.13,540,0.0,22.8
2017-09-03,61.78,537,0.0,23.5
2017-09-04,61.57,535,0.0,24.0
2017-09-05,61.25,532,0.0,22.9
2017-09-06,60.9,529,0.0,21.6
2017-09-07,60.65,527,0.0,22.7
2017-09-08,60.51,526,0.0,23.4
2017-09-09,60.22,523,0.0,24.1
2017-09-10,59.93,521,0.0,25.6
2017-09-11,59.67,518,0.0,25.0
2017-09-12,59.36,516,0.0,26.3
2017-09-13,58.95,512,0.0,25.6
2017-09-14,58.62,509,0.0,25.6
2017-09-15,58.29,506,0.0,25.4
2017-09-16,57.99,504,0.0,25.3
2017-09-17,57.65,501,0.0,24.3
2017-09-18,57.33,498,0.0,24.8
2017-09-19,56.94,495,0.0,25.2
2017-09-20,56.65,492,0.0,27.9
2017-09-21,56.29,489,0.0,24.1
2017-09-22,56.08,487,8.4,19.6
2017-09-23,55.72,484,4.1,18.9
2017-09-24,55.37,481,0.0,20.2
2017-09-25,55.04,478,0.0,22.6
2017-09-26,54.72,475,2.3,22.9
2017-09-27,54.69,475,0.5,21.3
2017-09-28,54.66,475,0.0,19.7
2017-09-29,54.64,475,0.0,17.2
2017-09-30,54.35,472,0.0,17.1
2017-10-01,55.65,483,15.0,15.7
2017-10-02,56.15,488,3.3,16.1
2017-10-03,56.13,488,0.0,16.3
2017-10-04,55.99,486,0.0,16.1
2017-10-05,55.69,484,0.0,16.3
2017-10-06,55.51,482,0.0,19.3
2017-10-07,55.27,480,0.0,20.4
2017-10-08,55.01,478,8.6,14.7
2017-10-09,54.77,476,1.0,15.4
2017-10-10,54.49,473,0.0,16.2
2017-10-11,54.23,471,0.0,16.2
2017-10-12,54.01,469,0.0,16.2
2017-10-13,53.71,467,0.0,15.6
2017-10-14,53.38,464,0.0,14.7
2017-10-15,53.17,462,0.0,15.3
2017-10-16,52.95,460,0.0,17.7
2017-10-17,52.66,457,0.0,17.3
2017-10-18,52.4,455,0.0,19.3
2017-10-19,52.14,453,0.0,17.8
2017-10-20,51.94,451,0.0,17.4
2017-10-21,51.69,449,0.0,16.8
2017-10-22,51.43,447,0.0,17.1
2017-10-23,51.14,444,0.0,18.6
2017-10-24,50.8,441,0.0,17.8
2017-10-25,50.67,440,0.0,16.6
2017-10-26,55.37,481,12.2,13.6
2017-10-27,56.23,488,0.5,13.9
2017-10-28,56.66,492,0.0,14.3
2017-10-29,56.68,492,9.4,13.6
2017-10-30,56.61,492,7.9,13.2
2017-10-31,56.56,491,0.0,9.9
2017-11-01,56.6,492,0.0,9.5
2017-11-02,56.52,491,0.0,9.9
2017-11-03,56.4,490,0.0,13.1
2017-11-04,56.36,490,2.3,13.1
2017-11-05,56.26,489,2.8,13.9
2017-11-06,56.21,488,0.0,13.6
